city,buurt,title,subtitle,price,rooms,area1,area2,date,link
amsterdam,betondorp,Brinkstraat 27,1097 VH Amsterdam,525000.0,5,107,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41088921-brinkstraat-27/
amsterdam,ijburg-west,Haringbuisdijk 20,1086 VA Amsterdam,519000.0,4,126,104.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41136676-haringbuisdijk-20/
amsterdam,ijburg-west,IJburglaan 147,1086 ZJ Amsterdam,445000.0,3,93,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41034615-ijburglaan-147/
amsterdam,ijburg-west,Maria Austriastraat 702 B,1087 KH Amsterdam,535000.0,4,119,14.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41136485-maria-austriastraat-702-b/
amsterdam,ijburg-west,Jan Olphert Vaillantlaan 121,1086 XZ Amsterdam,570000.0,5,126,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41128927-jan-olphert-vaillantlaan-121/
amsterdam,ijburg-west,Maria Austriastraat 610,1087 GL Amsterdam,675000.0,3,132,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41114170-maria-austriastraat-610/
amsterdam,ijburg-west,Erich Salomonstraat 96,1087 EH Amsterdam,375000.0,3,92,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41125704-erich-salomonstraat-96/
amsterdam,ijburg-west,Jan Olphert Vaillantlaan 83 B,1086 XZ Amsterdam,550000.0,4,133,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41934171-jan-olphert-vaillantlaan-83-b/
amsterdam,hoofdweg-eo,Orteliusstraat 2 2,1057 BA Amsterdam,750000.0,5,119,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41166475-orteliusstraat-2-2/
amsterdam,ijburg-west,Barkentijnkade 131,1086 VL Amsterdam,775000.0,4,141,90.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-87577000-barkentijnkade-131/
amsterdam,ijburg-west,Haringbuisdijk 12,1086 VA Amsterdam,595000.0,4,127,104.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41101669-haringbuisdijk-12/
amsterdam,ijburg-west,Pedro de Medinalaan 144,1086 XR Amsterdam,450000.0,5,94,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41126569-pedro-de-medinalaan-144/
amsterdam,hoofdweg-eo,Vasco da Gamastraat 36 2,1057 VM Amsterdam,695000.0,4,101,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41113195-vasco-da-gamastraat-36-2/
