city,buurt,title,subtitle,price,rooms,area1,area2,date,link
amsterdam,grachtengordel-west,Prinsengracht 415 B,1016 HM Amsterdam,850000.0,2,120,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41193136-prinsengracht-415-b/
amsterdam,ijburg-west,Barkasstraat 70 + pp,1086 VJ Amsterdam,734000.0,5,164,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87572404-barkasstraat-70-pp/
amsterdam,ijburg-west,Joris Ivensplein 74 ^,1087 BP Amsterdam,685000.0,4,146,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41038902-joris-ivensplein-74/
amsterdam,ijburg-west,Erich Salomonstraat 54,1087 AW Amsterdam,685000.0,6,166,147.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41191593-erich-salomonstraat-54/
amsterdam,ijburg-west,Trimurtistraat (Bouwnr. 5),1087 Amsterdam,775000.0,4,177,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41997943-trimurtistraat-bouwnr-5/
amsterdam,ijburg-west,Srefidensiplein (Bouwnr. 8),1087 Amsterdam,595000.0,4,132,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41997640-srefidensiplein-bouwnr-8/
amsterdam,ijburg-west,Zwanebloemlaan 274,1087 JT Amsterdam,600000.0,4,122,108.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41026827-zwanebloemlaan-274/
amsterdam,ijburg-west,Edward Masseystraat 39,1086 ZL Amsterdam,625000.0,5,140,183.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-87496080-edward-masseystraat-39/
amsterdam,geuzenveld,Cornelis Outshoornstraat 56,1067 HD Amsterdam,395000.0,4,100,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41131002-cornelis-outshoornstraat-56/
amsterdam,geuzenveld,Troelstralaan 269 -A,1067 MX Amsterdam,450000.0,4,120,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41043071-troelstralaan-269-a/
amsterdam,geuzenveld,Dudok de Withof 15,1067 RV Amsterdam,849000.0,6,207,102.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41150142-dudok-de-withof-15/
amsterdam,geuzenveld,Cornelis Roobolstraat 31,1067 AG Amsterdam,399000.0,6,108,114.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41039087-cornelis-roobolstraat-31/
amsterdam,geuzenveld,Cornelis Vriendtstraat 5,1067 AT Amsterdam,300000.0,4,86,100.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41110173-cornelis-vriendtstraat-5/
amsterdam,geuzenveld,Pieter van der Werfstraat 126,1067 EP Amsterdam,475000.0,5,113,39.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-87578805-pieter-van-der-werfstraat-126/
amsterdam,geuzenveld,Van Karnebeekstraat 25,1067 RG Amsterdam,390000.0,5,92,98.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41125095-van-karnebeekstraat-25/
amsterdam,geuzenveld,Cort van der Lindenkade 54,1067 LK Amsterdam,375000.0,5,101,118.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-87551700-cort-van-der-lindenkade-54/
amsterdam,dapperbuurt,Domselaerstraat 7 H,1093 JL Amsterdam,625000.0,5,91,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41027609-domselaerstraat-7-h/
amsterdam,bijlmer-oost-egk,Gooise Kant 122,1104 MM Amsterdam,450000.0,5,118,102.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-87572495-gooise-kant-122/
amsterdam,oostelijk-havengebied,Panamakade 220,1019 TT Amsterdam,550000.0,5,101,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41041602-panamakade-220/
amsterdam,volewijck,Hagedoornplein 24,1031 BV Amsterdam,885000.0,5,111,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41190677-hagedoornplein-24/
amsterdam,geuzenveld,Joost Bilhamerstraat 15,1067 AX Amsterdam,360000.0,5,88,94.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41138272-joost-bilhamerstraat-15/
amsterdam,geuzenveld,Teldershof 39,1067 ML Amsterdam,350000.0,4,96,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41074661-teldershof-39/
amsterdam,bijlmer-oost-egk,Eensgevonden 36,1103 BA Amsterdam,475000.0,4,133,125.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41136246-eensgevonden-36/
amsterdam,bijlmer-oost-egk,Gooise Kant 4,1104 MM Amsterdam,425000.0,4,113,93.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41123038-gooise-kant-4/
amsterdam,bijlmer-oost-egk,Kopkewierpad 9,1104 KX Amsterdam,470000.0,6,119,,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41107416-kopkewierpad-9/
amsterdam,bijlmer-oost-egk,Emanzana 60,1103 AV Amsterdam,435000.0,5,142,125.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-87474809-emanzana-60/
amsterdam,bijlmer-oost-egk,Arènpalmstraat 16,1104 DB Amsterdam,425000.0,6,125,98.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-87479116-arenpalmstraat-16/
amsterdam,bijlmer-oost-egk,Geerdinkhof 435,1103 RE Amsterdam,599435.0,5,145,275.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41098087-geerdinkhof-435/
amsterdam,oostelijk-havengebied,H.J.M. Walenkampstraat 56,1019 EC Amsterdam,480000.0,4,88,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41123434-hjm-walenkampstraat-56/
amsterdam,volewijck,Sneeuwbalstraat 78,1032 HB Amsterdam,500000.0,5,93,9.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41103333-sneeuwbalstraat-78/
amsterdam,volewijck,Duindoornstraat 4,1032 CN Amsterdam,750000.0,5,151,205.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41152023-duindoornstraat-4/
amsterdam,volewijck,Buiksloterweg 9 -G HL,1031 CC Amsterdam,625000.0,4,92,112.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41031922-buiksloterweg-9-g-hl/
amsterdam,volewijck,Sneeuwbalstraat 78 **,1032 HB Amsterdam,500000.0,5,93,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41103336-sneeuwbalstraat-78/
amsterdam,volewijck,Begoniastraat (Bouwnr. 2),1031 GA Amsterdam,580000.0,4,90,,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41083907-begoniastraat-bouwnr-2/
